Name,Active?,Cohort,Created,Date,Description,Integrations,Prize,Submission Type,Tags
FlexiBid,,UHI4,"March 29, 2025 8:19 PM",,Dynamic Market Making for Flaunch,Flaunch,Flaunch Prize,Hook Incubator (UHI),"Meme, Trading Volume Rewards"
LiqOS - Dynamic auction-based JIT auto-rebalancing custom router hook,,UHI4,"March 29, 2025 8:30 PM",,"“LiqOS: The liquidity layer of DeFi that rebuilds itself around every trade.”

Features:
• Real-time liquidity rebalancing during large simple/complex swaps
• Auction-driven JIT provisioning

LiqOS reimagines liquidity provision as an adaptive, self-healing system. By turning LP bid positions into real-time bidding instruments through its JIT auction system, it creates the first end-to-end operating system for on-chain market making—where every trade dynamically optimizes its own execution environment.

LPs compete in real-time auctions market to provide liquidity for large swaps—turning passive positions into active bidding strategies.",,,Hook Incubator (UHI),"Auctions, Custom Routers, Custom hooks, DeFi, MEV, Trading Volume Rewards"
BitChill Commission Hook,,UHI4,"March 29, 2025 8:32 PM",,"This is a POC of a commission hook that would integrate into BitChill, the Rootstock dApp I cofounded, which will be deployed on mainnet this very spring. ",,,Hook Incubator (UHI),"Custom hooks, NoOp"
Tick Range and Allowlist hooks,,UHI4,"March 29, 2025 10:09 PM",,This project is composed of two hooks. One to restrict swapping and liquidity provision to a specific tick range. The other one to restrict addresses that can swap and provide liquidity via two allowlists.,,,Hook Incubator (UHI),"Compliance, Custom hooks, LP Liquidity, RWA, Stablecoins"
vista labs,,UHI4,"March 30, 2025 12:55 AM",,prediction market protocol with dynamic AMM liquidity and AI based oracle,EigenLayer,Uniswap Prize,Hook Incubator (UHI),"Custom hooks, LVR, Machine Learning, NoOp, Unichain"
Dex Mini,,UHI4,"March 30, 2025 2:05 AM","March 30, 2025","Trade, Borrow, Earn, Leverage on Unichain - All Powered by Uniswap v4 Hooks.","Chainlink, EigenLayer",,Hook Incubator (UHI),"Cross-Chain, DEX, Dynamic Fee, LP Fees, LP Liquidity, MEV, Trading Rewards, Unichain"
Weth++,,UHI4,"March 30, 2025 2:11 AM",,"Weth++ is a yield-bearing version of WETH designed for Uniswap v4. It lets LPs earn passive yield on their liquidity positions without changing how trades work, and even powers buy pressure for newly launched tokens like those on Flaunch.",Flaunch,"Flaunch Prize, Uniswap Prize",Hook Incubator (UHI),"Custom hooks, DEX, ETH Staking, LP Liquidity, NoOp, Yield Farming"
POH Aggregator Hook,,UHI4,"March 30, 2025 3:38 AM",,This hook aims to aggregate different web3 Proof of Humanity (POH) services in one place. It allows the liquidity pool position initializer to select which POH service to use and what customized verification setting should be considered for the swapper.,,,Hook Incubator (UHI),"KYC, Proof Of Humanity"
Zorkitron,,UHI4,"March 30, 2025 3:57 AM",, DeFi passive income yield generator for Liquidity Providers that contributes to the decentralization of Ethereum.,,,Hook Incubator (UHI),"ETH Staking, Illiquid Assets, LP Liquidity, Liquidity Mining, Yield Farming"
Chook 🦀🪝🤿🔁🏦💹,,UHI4,"March 30, 2025 4:20 AM",,leveraging lending protocol automatically to earn fees even out of range in an efficient manner ,Arbitrum,Arbitrum Prize,Hook Incubator (UHI),"LP Fees, Yield Farming"
Implied Volatility Targeting AMM (IVTAMM),,UHI4,"March 30, 2025 4:33 AM",,A Constant Volatility AMM w/ daily target IV updates.,Brevis,"Brevis Prize, Uniswap Prize",Hook Incubator (UHI),"CFMM, DEX, Dynamic Fee, LP Fees"
AdaptiveSwap,,UHI4,"March 30, 2025 5:18 AM",,A uniswap v4 hook that adapt swapping fees based on asset volatility to protect Liquidity provider. Adaptive Swap subscribes to volatility data submitted by operator on Eigenlayer AVS that act as oracle contracts and data feed.,EigenLayer,EigenLayer Prize,Hook Incubator (UHI),"DEX, Dynamic Fee, LP Fees, Oracle"
MultiSwap,,UHI4,"March 30, 2025 6:29 AM",,MultiSwap: Unified Liquidity Layer for Liquid Restaking Tokens (LRTs),EigenLayer,,Hook Incubator (UHI),"Dynamic Fee, LP Liquidity, LRT liquidity hook, Unichain, analogous to Sanctum in Solana"
DexProfitWars,,UHI4,"March 30, 2025 6:51 AM",,"DexProfitWars is a Uniswap V4 hook that turns trading into a competitive leaderboard for top profit-makers. It unlocks monetization opportunities by enabling fee-based copy trading, drives trading spikes, and generates airdrop buzz through sponsor-funded rewards for leading traders.",Chainlink,Uniswap Prize,Hook Incubator (UHI),"Custom hooks, DEX, Gamified Trading, Oracle, Trading Volume Rewards"
PumpUp,,UHI4,"March 30, 2025 7:34 AM",,"PumpUp is a specialized marketplace where memecoin creators can deploy their tokens on custom-designed bonding curves built by expert curators, enabling more efficient trading with transparent scoring systems with AVS and seamless liquidity management across multiple trading strategies.","Arbitrum, EigenLayer","Arbitrum Prize, EigenLayer Prize",Hook Incubator (UHI),"Meme, NoOp, Reputation, Security"
AlphaEngine,,UHI4,"March 30, 2025 7:34 AM",,"Our project unlocks idle liquidity from Uniswap V4 stable pairs to securely fund profitable trading strategies created by global developers and quants. Through our permissionless alpha marketplace, strategy creators earn rewards by monetizing their expertise, while liquidity providers maximize yields from otherwise unused funds.","Brevis, EigenLayer",,Hook Incubator (UHI),"Custom hooks, LP Fees, LP Liquidity, Oracle, Stablecoins, Yield Farming, zk-SNARK"
V4 Oracle Predict,,UHI4,"March 30, 2025 7:53 AM",,V4 Oracle Predict combines DeFi engagement with gamification by rewarding users with points for participating in Uniswap V4 pools,,,Hook Incubator (UHI),Trading Rewards
Liquidity Oracle,,UHI4,"March 30, 2025 7:55 AM",,A decentralized analytics Data Layer designed to monitor and quantify liquidity behavior in Uniswap v4 pools in real-time using Eigenlayer's AVS infrastructure.,EigenLayer,EigenLayer Prize,Hook Incubator (UHI),"LP Liquidity, Oracle, Unichain"
HookGPT,,UHI4,"March 30, 2025 8:25 AM",,HookGPT is a production-ready AI-powered conversational AI agent and generator for Uniswap v4 hooks that transforms natural language prompts into optimized smart contract code. It leverages large language models with specialized knowledge of Uniswap protocols to help developers create custom hooks without needing deep expertise in DeFi programming.,,,Hook Incubator (UHI),"Custom hooks, Machine Learning, Other"
VolatiFee,,UHI4,"March 30, 2025 8:51 AM","March 30, 2025",Dynamic fee hook that changes fees based on volatility,Arbitrum,,Hook Incubator (UHI),"Custom hooks, Dynamic Fee, LP Fees, Oracle"
UniHaas,Active,UHI4,"March 30, 2025 11:21 AM","March 30, 2025","UniHaaS (Uniswap Hook-as-a-Service) is a no-code platform that simplifies Uniswap v4 Hook development, allowing users to design, configure, and deploy custom Hooks without writing Solidity. Inspired by OpenZeppelin Wizard, UniHaaS makes Hook creation more accessible, reducing complexity and enabling faster innovation. 🚀",Chainlink,,Hook Incubator (UHI),"CCIP, Cross-Chain, Custom hooks, DEX, Dynamic Fee, LP Fees, LP Liquidity, MEV, Trading Volume Rewards"
LiquidityShieldHook,,UHI4,"March 30, 2025 2:06 PM",,"LiquidityShieldHook is a Uniswap v4 hook that protects liquidity providers by dynamically adjusting fees based on market volatility, leveraging Arbitrum Stylus for efficient calculations, EigenLayer for decentralized price validation, and Flaunch for LP tokenization and rewards.","Arbitrum, Brevis, EigenLayer, Flaunch",,Hook Incubator (UHI),"Custom hooks, LP Liquidity, Price Discovery"
unipeg,,UHI4,"March 30, 2025 2:49 PM",,stablecoin that resides with hooks,,,Hook Incubator (UHI),"Basic Interest Rate, Dynamic Fee, Options/Futures, Stablecoins, Yield Farming"
Milady Bank,,UHI4,"March 31, 2025 2:47 PM",,Borrowing and Lending Protocol on Uniswap V4,,,Hook Incubator (UHI),"LP Fees, LP Liquidity"
C.R.A.B Swap,,UHI5,"June 6, 2025 10:41 PM",,"CrabSwap is an automated cross-chain arbitrage protocol that uses real-time price feeds and fast bridging to detect and execute profitable trades across multiple blockchains through Uniswap V4, Across Protocol and Pyth network. It simplifies and speeds up arbitrage by handling price checks, asset transfers, and swaps all in one seamless process.",Across,Uniswap Prize,Hook Incubator (UHI),"Cross-Chain, Trading Rewards"
Inkwars,,UHI5,"June 23, 2025 10:01 PM",,A battle game built as a Uniswap V4 Hook where players can engage in strategic combat.,Ink,,Hook Incubator (UHI),Gamefi
RampHook,,UHI5,"June 25, 2025 9:12 PM",,Ramphook is an innovative on-ramping service that leverages Uniswap v4 and Hooks to offer any token to users while holding liquidity exclusively in USDC.,Across,Across Prize,Hook Incubator (UHI),"CoW, Cross-Chain, DEX, Dynamic Fee, LP Fees, NoOp, Stablecoins"
ZeanHook,,UHI5,"June 25, 2025 10:13 PM",,"ZeanHook is a Uniswap v4 hook that enables batch execution of swaps with commit-reveal and AVS (Actively Validated Service) integration for MEV protection and volatility-aware slippage management. It allows users to queue swaps, participate in secure commit-reveal phases, and benefit from dynamic slippage adjustments based on real-time volatility.",EigenLayer,,Hook Incubator (UHI),"CoW, DEX, MEV, Security"
InfraFund,,UHI5,"June 26, 2025 1:27 AM",,"InfraFund bridges the NetZero investment gap by tokenizing real-world renewable energy assets, creating liquid, transparent markets for developers and investors. We are building a custom Uniswap v4 hook to create the first regulatory-compliant liquidity pools for these RWA tokens, enabling features like on-chain identity verification and dynamic fees to accelerate green capital formation.",,,Hook Incubator (UHI),"CCIP, DEX, Donation, Governance, ICO, KYC, LP Fees, LP Liquidity, Machine Learning, Oracle, RWA, Regulation, Security, Tokenized Stocks, Trading Rewards"
Redirecting Arbitrage Profits to LPs in Stable AMMs via Directional Dynamic Fees,,UHI5,"June 26, 2025 1:39 AM",,"When a trade moves away from the oracle price, the hook slightly increases the fee — effectively taxing arbitrage profits and routing part of them back to LPs.",,,Hook Incubator (UHI),"Dynamic Fee, LP Fees, LP Liquidity, MEV, Oracle"
LuckyNBurn,,UHI5,"June 26, 2025 6:35 AM",,"A custom hook that introducd gamified fee structure, burn mecanics abd a loyality program.",,,Hook Incubator (UHI),"Custom hooks, Dynamic Fee, Gamefi, LP Fees, Trading Rewards"
SwapCast,,UHI5,"June 26, 2025 7:41 AM",,SwapCast transforms Uniswap v4 pools into dual-purpose infrastructure: maintaining efficient swap execution while simultaneously generating valuable market intelligence through incentivized predictions.,Ink,,Hook Incubator (UHI),"Custom hooks, Oracle, Trading Rewards"
 KOL Referral System,,UHI5,"June 26, 2025 8:05 AM",,A complete referral system for Key Opinion Leaders (KOLs) integrated with Uniswap V4 on Base mainnet that tracks TVL generated through referrals and provides dynamic leaderboards with real-time rankings.,,,Hook Incubator (UHI),"LP Liquidity, Trading Rewards, Trading Volume Rewards"
ShieldFI,,UHI5,"June 26, 2025 9:27 AM",,"ShieldFi is an MEV protection system built as a Uniswap v4 hook, automatically detecting and blocking sandwich attacks while redistributing 70-80% of captured MEV value back to users",EigenLayer,,Hook Incubator (UHI),"Custom hooks, MEV, Trading Rewards"
Beefy CLMv4,,UHI5,"June 26, 2025 10:11 AM",,Automatically manage the pool liquidity for users,,,Hook Incubator (UHI),"CFMM, Custom hooks, DEX, Dynamic Fee, Dynamic Tick Adjustment, LP Fees, LP Liquidity, Unichain, Yield Farming"
ArbiMint,,UHI5,"June 26, 2025 11:42 AM",,"ArbiMint is a Uniswap v4 Hook-powered protocol that flash mints USDC via Circle to execute on-chain arbitrage opportunities in real time. It seamlessly bridges off-chain stablecoin liquidity with on-chain DeFi execution—all in a single, automated flow.","Circle, EigenLayer",,Hook Incubator (UHI),Yield Farming
xRange,,UHI5,"June 26, 2025 1:23 PM",,A Uniswap v4 hook that automatically maintains active liquidity positions and migrates them across chains for optimal yield.,Across,,Hook Incubator (UHI),"CCIP, Cross-Chain, LP Fees, Order Type"
TermStructure AMM,,UHI5,"June 26, 2025 2:04 PM",,DeFi's bridge to TradFi bonds. Built on top of Uniswap V4 and the Asset Tokenization Studio,"Circle, EigenLayer","Circle Prize, Uniswap Prize",Hook Incubator (UHI),"Compliance, Custom hooks, NoOp, Price Discovery, Security, Yield Farming"
CrossTrade Hook,,UHI5,"June 26, 2025 4:15 PM",,"A crosschain arbitrage hook that takes advantage of price differences across chains, bridging the assets using across and executing the swap on the destination.",Across,,Hook Incubator (UHI),"Cross-Chain, Custom hooks, Oracle"
Opinologos,,UHI5,"June 26, 2025 4:23 PM",,Open prediction market platform. Adaptation of gnosis conditional tokens protocol and fix product market maker.,EigenLayer,,Hook Incubator (UHI),"Constant Product Market Maker (CPMM), Custom Routers, Custom hooks, DEX, Other, Price Discovery, Unichain"
Unicarbon,,UHI5,"June 26, 2025 4:33 PM",,"A decentralize exchange DEX dedicated for carbon market (Voluntary Carbon Market) powered by Uniswap V4. Featured with Buffer Pool, Carbon Credit Quality & Dynamics Fees   ",EigenLayer,,Hook Incubator (UHI),"Dynamic Fee, Oracle, RWA, Tokenized Stocks, Unichain"
Token Comic,,UHI5,"June 26, 2025 7:08 PM",,"Token Comic is a Web3 platform where comics come alive as collectible NFTs, and every trade you make brings new stories and rewards.",,,Hook Incubator (UHI),"Cross-Chain, DEX, Gamefi, Meme, Tokenized Stocks"
EquiGuard,,UHI5,"June 26, 2025 7:30 PM",,EquiGuard is a v4 hook solution that mitigates traditional v3 IL through a reserve hedge. EquiGuard seeks to onramp v2 liquidity providers by providing a solution that has similiar IL as v2 but fee yield similar to v3. ,,,Hook Incubator (UHI),"Dynamic Fee, LP Fees, LP Liquidity, Liquidity Mining, Trading Rewards, Yield Farming"
Uniswap Gas Station,,UHI5,"June 26, 2025 7:58 PM",,This hook is a hook for devs who want to incentivise users to trade in their pool by offering discounted gas prices.,,Uniswap Prize,Hook Incubator (UHI),Custom hooks
BeefLauncher,,UHI5,"June 26, 2025 8:06 PM",,"A launch pad that uses hooks, Dynamic fee, rates are inversely proportional to the square root of prices",,,Hook Incubator (UHI),Dynamic Fee
MultiHookAdapter,,UHI5,"June 26, 2025 8:33 PM",,"A flexible adapter pattern enabling multiple hooks to operate simultaneously on a single Uniswap V4 pool, unlocking advanced composability and programmability.",,,Hook Incubator (UHI),"Custom hooks, Dynamic Fee, Hook Adapters"
Flaunch-lazy-lp,,UHI5,"June 26, 2025 9:22 PM",,flaunch-lazy-lp is a protocol designed to manage NFT-based revenue streams by pooling generated ETH into a Uniswap v4 liquidity pool.,Flaunch,Flaunch Prize,Hook Incubator (UHI),"LP Fees, LP Liquidity, Trading Rewards"
Yield Matcha,,UHI5,"June 26, 2025 10:07 PM",,Converting volatile memecoin fees into stable USDC rewards for sustainable DeFi yield,"Circle, Flaunch","Flaunch Prize, Uniswap Prize",Hook Incubator (UHI),"LP Fees, LP Liquidity, Stablecoins, Trading Volume Rewards, Yield Farming"
PayWithUsdc,,UHI5,"June 26, 2025 10:27 PM",,"CirclePaymasterHook is a Uniswap V4 hook contract that enables gasless swaps by integrating with Circle’s Paymaster service. Its primary purpose is to allow users to pay transaction gas fees in USDC (a stablecoin) instead of the native blockchain token (such as ETH). During a swap operation, the hook coordinates with a Circle Paymaster Integration contract to process and settle gas payments in USDC, making the user experience more seamless and accessible, especially for those who may not hold native tokens. This hook is designed to be used within the Uniswap V4 ecosystem and supports advanced features like gas estimation, USDC refunds for unused gas, and multi-token support for future extensibility.",Circle,Circle Prize,Hook Incubator (UHI),"Custom hooks, Stablecoins"
ISP (Intent Sandwich Protector),,UHI5,"June 26, 2025 11:30 PM",,"ISP (Intent Sandwich Protector) is a Uniswap v4 hook that mitigates sandwich attacks using programmable slippage guards, TWAP-based price bounds, and randomized delayed execution. It acts as an on-chain firewall to slow down MEV extraction without requiring off-chain relayers.",,,Hook Incubator (UHI),MEV
Amply,,UHI5,"June 26, 2025 11:53 PM",,"Amply is a hook that gamifies trading by implementing a dynamic reward system with tier-based POINTS distribution, milestone bonuses, and referral mechanisms, while integrating with EigenLayer for staking rewards and Ink for NFT milestone rewards.  The hook automatically tracks users' cumulative ETH swap volume, awards POINTS tokens based on their tier level, provides milestone bonuses for reaching specific thresholds, distributes referral rewards, and enables users to stake ETH through EigenLayer and earn NFT rewards via Ink.","EigenLayer, Ink",,Hook Incubator (UHI),"Basic Interest Rate, Dynamic Fee, ETH Staking, Trading Rewards, Trading Volume Rewards"
LightHook,,UHI5,"June 26, 2025 11:58 PM",,"lighthook - that spots when your liquidity goes out-of-range and instantly restakes the idle tokens in EigenLayer—bridging through Across if needed—so LPs keep fee exposure while their “sleeping” capital earns extra yield, all fully non-custodial","Across, EigenLayer",,Hook Incubator (UHI),"CFMM, Cross-Chain, Custom hooks, DEX, ETH Staking, LP Fees, LP Liquidity, Liquidity Mining, Yield Farming"
SmartHook,,UHI5,"June 27, 2025 12:04 AM",,"A Uniswap V4 hook that automatically detects and executes profitable cross-chain arbitrage opportunities using on-chain machine learning models and Across Protocol for bridging. The system passively monitors swaps, identifies price discrepancies across multiple chains, and autonomously captures arbitrage profits while users trade normally without any additional steps or deposits required.",Across,Across Prize,Hook Incubator (UHI),"Cross-Chain, Custom hooks, Machine Learning"
EigenLVR,,UHI5,"June 27, 2025 12:26 AM",,"EigenLVR is a revolutionary Uniswap v4 Hook that addresses Loss Versus Rebalancing (LVR) by redirecting MEV lost to arbitrage back to liquidity providers through sealed-bid auctions secured by EigenLayer AVS operators. The system recovers 85% of MEV for LPs while maintaining fair, transparent price discovery through cryptographically secure off-chain validation.",EigenLayer,EigenLayer Prize,Hook Incubator (UHI),"Auctions, DEX, LP Fees, LVR, MEV, Oracle, Trading Rewards"
Zama Compliance hook,,UHI5,"June 27, 2025 12:50 AM",,Uniswap for the real world assets,Circle,,Hook Incubator (UHI),"Compliance, DEX, KYC, Proof Of Humanity, RWA, Regulation"
MEV Prevention Agent,,UHI5,"June 27, 2025 12:59 AM",,A Uniswap v4 Hook that detects high-slippage swaps and defers their execution to prevent MEV sandwich attacks using asynchronous execution.,,,Hook Incubator (UHI),"Custom hooks, DEX, MEV, Security"
Debt Hook,,UHI5,"June 27, 2025 1:01 AM",,"DebtHook is a DeFi lending protocol that leverages Uniswap v4 hooks to enable, MEV-protected liquidations of collateralized debt positions, with ETH as collateral and USDC as the lending currency. The protocol features automatic liquidations during swaps, EigenLayer-powered batch matching for optimal efficient interest rate discovery, and a seamless interface for lenders and borrowers, paying gas in USDC.","Circle, EigenLayer",EigenLayer Prize,Hook Incubator (UHI),"Basic Interest Rate, CoW, Custom hooks, DEX, MEV, Private Debt, Unichain"
Cross-Chain Gas Price Optimization Hook,Active,UHI5,"June 27, 2025 1:25 AM",,"A sophisticated Uniswap V4 hook that automatically routes swaps to the most cost-effective blockchain using Across Protocol, maximizing user savings through intelligent gas price optimization and cross-chain execution.",Across,Across Prize,Hook Incubator (UHI),"Bridge Aggregation, Chainlink Integration, Cost Analysis, Cross-Chain Optimization, Emergency Controls, Gas Price Oracle, Governance, MEV Protection, Multi-Chain Routing, Oracle, Price Discovery, USD Savings Display"
Blueprint,,UHI5,"June 27, 2025 1:51 AM",,"Blueprint Protocol is a modular creator token launchpad built on Uniswap V4. It enables creator coin launches, incentivized trading, and lays the groundwork for decentralized market stabilization and JIT liquidity to support vibrant onchain creator economies.","EigenLayer, Flaunch, Ink",Flaunch Prize,Hook Incubator (UHI),"Custom Routers, Custom hooks, Dynamic Fee, Meme, Trading Rewards"
kvhook,,UHI5,"June 27, 2025 2:21 AM",,"kvhook is a Uniswap V4 hook that enables KYC-gated pools, allowing only users authorized through Kraken Verify to execute swaps, bringing regulatory compliance and real-world identity verification to decentralized finance without exposing any personal data. The hook integrates Kraken Verify with Uniswap V4’s hook architecture, enabling compliant DeFi trading and paving the way for future features like reduced fees, exclusive LP pool access, and reward programs for verified users and opens the door for institutions",Ink,Ink Prize,Hook Incubator (UHI),"Compliance, KYC, Regulation, Security"
Dynamic Fees for MEV Mitigation,,UHI5,"June 27, 2025 2:27 AM",,This hook implements a set of strategies to make MEV attacks unprofitable by adjusting fees based on the user’s behavior.,,,Hook Incubator (UHI),"Custom hooks, DEX, Dynamic Fee, LP Fees, LP Liquidity, MEV, Oracle"
Pricepulse,,UHI5,"June 27, 2025 3:01 AM",,PricePulse is a DeFi smart contract project that integrates with Uniswap V4 to provide real-time price tracking and time-weighted average price (TWAP).,"Across, Circle",,Hook Incubator (UHI),"Cross-Chain, DEX, Dynamic Fee, MEV"
LP Hub,,UHI5,"June 27, 2025 3:02 AM",,"LP Hub uses evidence based metrics (VPIN, Illiq, Inventory Exposure) from traditional finance to empower LPs with highly effective dynamic fees, reducing risk of IL and increasing profitability. Additionally our hook includes a self arb feature which captures arbs created from swaps in our pool, using flash loans.",,Uniswap Prize,Hook Incubator (UHI),"Copy Trading, DEX, Dynamic Fee, LP Fees, LP Liquidity, MEV, Order Type"
FrontrunThis,,UHI5,"June 27, 2025 3:13 AM",,"FrontrunThis is a privacy-focused trading layer built on Uniswap v4, powered by EigenLayer and EigenDA. It enables encrypted trade matching off-chain and secure on-chain settlement, protecting users from MEV like frontrunning and sandwich attacks.",EigenLayer,"EigenLayer Prize, Uniswap Prize",Hook Incubator (UHI),"Cross-Chain, Custom hooks, Dark Pools, ETH Staking, MEV, Security"
Jincubator,,UHI5,"June 27, 2025 3:41 AM",,"Jincubator  IntentSwapHook  allows swaps to be created with a delay period before execution, enabling solvers to find a more efficient trade and provide higher-return tokens to the swapper.","Across, Circle, EigenLayer, Flaunch, Ink",,Hook Incubator (UHI),"CoW, Cross-Chain, Custom hooks, DEX, LP Liquidity, Unichain"
SIP: Sigmoid Incentive Protocol ,,UHI5,"June 27, 2025 4:25 AM",,"A modular framework that redistributes protocol value using arbitrary, composable non-linear curves. Drawing inspiration from behavioral economics, SIP enables communities to design incentive mechanisms that maximize Total Perceived Utility for their members rather than raw financial output.",Ink,,Hook Incubator (UHI),"Custom hooks, Dynamic Fee, LP Liquidity, Proof Of Humanity"
Vixdex.finance - Decentralized Volatility Trading Protocol,,UHI5,"June 27, 2025 5:59 AM",,"Vixdex is an implied volatility trading protocol that lets users trade the volatility of any Uniswap V3 pool from memecoins to BTC , making it a degen-friendly way to speculate on market uncertainty.",Circle,,Hook Incubator (UHI),"DEX, Options/Futures"
YOLO Protocol,,UHI5,"June 27, 2025 6:16 AM",,"YOLO Protocol is a modular DeFi engine that combines the functionalities of CDP Stablecoin, Synthetic Assets & Native Yield Looping into a single Uniswap V4 Hook.

You can think about us as a MakerDAO, Synthetix (or Mirror Protocol and Gearbox natively inside Uniswap.

We aim to bring web2-like yield looping and leveraged trading experience onchain.","Across, Circle, EigenLayer, Ink","Across Prize, Circle Prize, Ink Prize, Uniswap Prize",Hook Incubator (UHI),"CFMM, Constant Product Market Maker (CPMM), Cross-Chain, Custom hooks, Inter-Connected Pools, NoOp, RWA, Stablecoins, Tokenized Stocks, Yield Farming"
OriginateX + Passthru Protocol,,UHI5,"June 27, 2025 6:24 AM",,"Decentralized Mortgage Origination, Servicing, Lending Platform and Decentralized Mortgage Backed Securities Exchange","Circle, EigenLayer",Uniswap Prize,Hook Incubator (UHI),"Custom Routers, Custom hooks, DEX, Illiquid Assets, Price Discovery, RWA"
RaffleHook,,UHI5,"June 27, 2025 6:33 AM",,"This RaffleHook collects fees from a specific pool and sends the entire amount to one randomly selected user after every 100 swaps, using Chainlink VRF.",,,Hook Incubator (UHI),Raffle
"SkySwap - An IL-Free, Dynamic Liquidity Peg CLMM",,UHI5,"June 27, 2025 6:55 AM",,SkySwap aims to be the deepest liquidity protocol on Uniswap by combining capital efficiency with impermanent loss elimination.,Circle,"Circle Prize, Uniswap Prize",Hook Incubator (UHI),"CFMM, CoW, Custom hooks, DEX, Dynamic Fee, LP Fees, Unichain"
EngageSwap,,UHI5,"June 27, 2025 7:20 AM",,"EngageSwap is a Uniswap V4 hook-based incentive protocol that rewards both traders and liquidity providers through dynamic fee redistribution and a custom token, UEN. It enhances Uniswap's ecosystem by aligning incentives, boosting engagement, and enabling sustainable value accrual for the protocol.",,,Hook Incubator (UHI),"Custom hooks, Dynamic Fee, LP Fees, Trading Rewards, Trading Volume Rewards"
ROSIP,,UHI5,"June 27, 2025 7:26 AM",,Reflexive oracle with insurance protocol,Circle,,Hook Incubator (UHI),"Cross-Chain, Custom Routers, Custom hooks, Dynamic Fee, Dynamic Tick Adjustment, Oracle, Order Type, Stablecoins"
LiquiDAO,,UHI5,"June 27, 2025 7:41 AM",,LiquiDAO helps DAO’s maximize their ecosystem liquidity and contributor retention with permissioned pools exclusively reserved to their core contributors.,Ink,,Hook Incubator (UHI),"Compliance, Custom hooks, DEX, Governance, Illiquid Assets, LP Fees, MEV"
UniSponge,,UHI5,"June 27, 2025 7:51 AM",,Mitigate IL by introducing volatility based fee,,,Hook Incubator (UHI),"Custom hooks, Dynamic Fee, LP Fees"
ParityTax AMM Ensuring Equitable Fee Distribution,,UHI5,"June 27, 2025 7:52 AM",,"A data-driven AMM protocol that aims to minimize fee revenue concentration by JIT liquidity providers with a progressive tax based on the time an LP leaves their asset inventories in the pool, incorporated into the trading fees. This is designed to reward liquidity depth provided by ex-ante liquidity providers.",,,Hook Incubator (UHI),"DEX, Dynamic Fee, LP Fees, LP Liquidity, Liquidity Mining, Trading Rewards, Yield Farming"
CrossCoW ,,UHI5,"June 27, 2025 7:59 AM",,A Dark pool hook  ,EigenLayer,,Hook Incubator (UHI),"CoW, Custom Routers, Dark Pools"
HookaVerse / HookFi,,UHI5,"June 27, 2025 8:05 AM",,"HookFi empowers one-click token issuance, including immortal leverage tokens, and Uniswap v4 pool creation in the dynamic Hookaverse. Accessible via hookaverse.com and @HookFiApp , it uses hooks for single-sided liquidity, crowdfunding, and fee distribution.  HookFi empowers one-click token issuance, including immortal leverage tokens, and Uniswap v4 pool creation in the dynamic Hookaverse. Accessible via hookaverse.com and @HookFiApp , it uses hooks for single-sided liquidity, crowdfunding, and fee distribution.","Across, Circle, EigenLayer, Flaunch, Ink",,Hook Incubator (UHI),HookFi
TradeBattle,,UHI5,"June 27, 2025 8:31 AM",,TradeBattle turns regular Uniswap trading into competitive gaming - users pay entry fees to join daily tournaments and compete for real prize pools based on their trading performance. We use EigenLayer AVS to verify winners trustlessly so nobody can cheat the system.,EigenLayer,EigenLayer Prize,Hook Incubator (UHI),"Custom hooks, DEX, Gamefi, LP Fees, Oracle, Reputation, Security, Trading Rewards, Trading Volume Rewards"
Clanker,,UHI5,"July 2, 2025 12:51 PM",,"Hook designed for business logic associated with token launcher. Hook enables dynamic fees, mev-aware-logic, as well as fee claiming optimizations.",,,Hook Incubator (UHI),"Auctions, Custom hooks, DEX, Dynamic Fee, LP Fees, MEV, Meme"
Final Name,,UHI5,"August 28, 2025 10:17 PM",,It finally brings a billion users to crypto,"EigenLayer, Fhenix",,Hook Incubator (UHI),"Interop, Stablecoins, Yield Farming"
ShadowSwap,,UHI6,"September 16, 2025 5:24 PM",,"ShadowSwap is a privacy-preserving DEX that protects   traders from MEV attacks through encrypted order batching,   redistributing 80% of captured MEV to liquidity providers and   20% back to traders. Built with Uniswap v4 Hooks, EigenLayer   AVS, and Fhenix FHE, it provides complete privacy and   cross-chain coordination while eliminating front-running and   sandwich attacks.","EigenLayer, Fhenix",,Hook Incubator (UHI),"Cross-Chain, DEX, LP Fees, MEV"
Lexifi- Compliance Hook,,UHI6,"September 17, 2025 6:57 PM",,"A compliance hook enabling selective KYC/AML enforcement for Uniswap v4 pools by integrating Fhenix and World ID. Our project bridges traditional finance compliance with DeFi’s permissionless nature through a flexible, selective compliance architecture—supporting both basic and institutional-grade pools with customizable risk management.",Fhenix,,Hook Incubator (UHI),"Compliance, Custom hooks, DEX, Donation, KYC, Oracle, Other, Security"
UniLend,,UHI6,"September 17, 2025 9:46 PM",,Unilend is a capital efficient lending borrowing protocol that allows for efficient liquidation which in turn lets the protocol offer much higher LTV ratios. All of this built within uniswap hooks where these liquidations happen as part of swaps!,,Uniswap Prize,Hook Incubator (UHI),"DEX, LP Fees"
